Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 йиксечиротси тнемоМ ;теапутсыв;  Момент исторический ; выступает ;  ;на первый план, момент безотносительно ;С. Г. Бочаров. Из истории понимания Пушкина (1998) ;С. Г. Бочаров ;1929 ;Из истории понимания Пушкина ;1998 ;учебно-научная, нехудожественная ;статья ;наука и технологии, филология ;С. Г. Бочаров. Сюжеты русской литературы ;2000 ;книга ;омонимия снята;" Момент исторический выступает на первый план, момент безотносительно эстетический уступает ему своё место "" .  [С. Г. Бочаров. Из истории понимания Пушкина (1998)] [омонимия снята]"
 мён в еенфеьлер мет он;теапутсыв; но тем рельефнее в нём ; выступает ;  ;нечто всё же и объективное ;С. Г. Бочаров. Из истории понимания Пушкина (1998) ;С. Г. Бочаров ;1929 ;Из истории понимания Пушкина ;1998 ;учебно-научная, нехудожественная ;статья ;наука и технологии, филология ;С. Г. Бочаров. Сюжеты русской литературы ;2000 ;книга ;омонимия снята;  Такой Пушкин ― это леонтьевский аргумент в мировоззренческом споре с автором пушкинской речи: образ ярко субъективный, леонтьевский, но тем рельефнее в нём выступает нечто всё же и объективное, от чего нам в Пушкине не уйти и что погашено в лике, выписанном Достоевским.  [С. Г. Бочаров. Из истории понимания Пушкина (1998)] [омонимия снята]
 алсич огонневтсежонм и огонневтсниде мамроф;мищюапутсыв; формам единственного и множественного числа, ; выступающим ;  ;в этом контексте в качестве ;С. Г. Бочаров. Из истории понимания Пушкина (1998) ;С. Г. Бочаров ;1929 ;Из истории понимания Пушкина ;1998 ;учебно-научная, нехудожественная ;статья ;наука и технологии, филология ;С. Г. Бочаров. Сюжеты русской литературы ;2000 ;книга ;омонимия снята;" Пушкин― поэт ""  которого откликнулся    …""  Вот тезис и вот картина творчества, в которой главная роль принадлежит этим формам единственного и множественного числа, выступающим в этом контексте в качестве знаков двух коренных миропониманий ― христианского и языческого.  [С. Г. Бочаров. Из истории понимания Пушкина (1998)] [омонимия снята]"
 нартс хиксйитлаб иманортап А ;тюапутсыв;  А патронами балтийских стран ; выступают ;  ;три скандинавские страны ― Швеция, Норвегия ;Николай Леонов, Наталия Геворкян. Кому мешают русские шпионы // «Коммерсантъ-Власть», 1998 ;Николай Леонов, Наталия Геворкян ; ;Кому мешают русские шпионы ;1998 ;публицистика, нехудожественная ;интервью ;политика и общественная жизнь ;«Коммерсантъ-Власть» ;1998 ;журнал ;омонимия снята; А патронами балтийских стран выступают три скандинавские страны ― Швеция, Норвегия и Финляндия.  [Николай Леонов, Наталия Геворкян. Кому мешают русские шпионы // «Коммерсантъ-Власть», 1998] [омонимия снята]
 ямерв еондобовс в А ;теапутсыв;  А в свободное время ; выступает ;  ;с речами и чтением стихов ;Григорий Горин. Иронические мемуары (1990-1998) ;Григорий Горин ;1940 ;Иронические мемуары ;1990-1998 ;художественная ;мемуары ; ;Григорий Горин. Золотая серия юмора. ;1999 ;книга ;омонимия снята; А в свободное время выступает с речами и чтением стихов в кнессете.  [Григорий Горин. Иронические мемуары (1990-1998)] [омонимия снята]
 месВ ;мищюапутсыв;  Всем ; выступающим ;  ;даётся понять, что они― гарнир ;Григорий Горин. Иронические мемуары (1990-1998) ;Григорий Горин ;1940 ;Иронические мемуары ;1990-1998 ;художественная ;мемуары ; ;Григорий Горин. Золотая серия юмора. ;1999 ;книга ;омонимия снята; Всем выступающим даётся понять, что они― гарнир, приправа к горячему блюду.  [Григорий Горин. Иронические мемуары (1990-1998)] [омонимия снята]
 адохыв тен укьлоксоп нофорким тотэ;ьтапутсыв; этот микрофон, поскольку нет выхода: ; выступать ; ―  ;страшно, не выступать ― стыдно!  ;Григорий Горин. Иронические мемуары (1990-1998) ;Григорий Горин ;1940 ;Иронические мемуары ;1990-1998 ;художественная ;мемуары ; ;Григорий Горин. Золотая серия юмора. ;1999 ;книга ;омонимия снята;  И всё-таки я добровольно вливаюсь в число камикадзе, таранящих этот микрофон, поскольку нет выхода: выступать ― страшно, не выступать ― стыдно!  [Григорий Горин. Иронические мемуары (1990-1998)] [омонимия снята]
 ежот нО  аницьлЕ ьшинмоп итатсК;лапутсыв; Кстати, помнишь Ельцина?  Он тоже ; выступал ;.  ; Говорил, что у его правительства ;Григорий Горин. Иронические мемуары (1990-1998) ;Григорий Горин ;1940 ;Иронические мемуары ;1990-1998 ;художественная ;мемуары ; ;Григорий Горин. Золотая серия юмора. ;1999 ;книга ;омонимия снята;  Кстати, помнишь Ельцина?  Он тоже выступал.  Говорил, что у его правительства разработана новейшая программа к цивилизованному рынку.  [Григорий Горин. Иронические мемуары (1990-1998)] [омонимия снята]
 маммаргорп месв оп едг арозивелет;тюапутсыв; телевизора, где по всем программам ; выступают ;  ;депутаты.  ;Григорий Горин. Иронические мемуары (1990-1998) ;Григорий Горин ;1940 ;Иронические мемуары ;1990-1998 ;художественная ;мемуары ; ;Григорий Горин. Золотая серия юмора. ;1999 ;книга ;омонимия снята;  А вечером, придя в нетопленый дом, выпить рюмку одеколона, закурить чинарик, найденный в подъезде, и сесть у телевизора, где по всем программам выступают депутаты.  [Григорий Горин. Иронические мемуары (1990-1998)] [омонимия снята]
 ятсупс адоглоП ;яапутсыв;  Полгода спустя, ; выступая ;  ;на Архиерейском соборе, митрополит Ювеналий ;Владислав Дорофеев. Происки церкви // «Коммерсантъ-Власть», 1998 ;Владислав Дорофеев ; ;Происки церкви ;1998 ;публицистика, нехудожественная ;статья ;религия, политика и общественная жизнь ;«Коммерсантъ-Власть» ;1998 ;журнал ;омонимия снята;" Полгода спустя, выступая на Архиерейском соборе, митрополит Ювеналий уточняет: ""В вопросе о канонизации царской семьи нет полного единодушия в церковном народе…""  [Владислав Дорофеев. Происки церкви // «Коммерсантъ-Власть», 1998] [омонимия снята]"
 кодоробдоп ецил мотунсюлпс ан ынещемоп;теапутсыв; помещены на сплюснутом лице, подбородок ; выступает ;  ;нагловатенько, и лоб какой-то не ;Анатолий Азольский. Облдрамтеатр // «Новый Мир», 1997 ;Анатолий Азольский ;1930 ;Облдрамтеатр ;1997 ;художественная ;повесть ; ;«Новый Мир» ;1997 ;журнал ;омонимия снята; Единственная пепельница ― на столе, и оказалось, что женщина, с десяти шагов весьма миловидная, вблизи смотрелась удручающе иной: и глаза вроде бы как-то косо помещены на сплюснутом лице, подбородок выступает нагловатенько, и лоб какой-то не такой, манеры и речи же ― нахраписты и угодливы, как у пристающей к прохожим торговки краденым, чего не видели или не хотели замечать студенты, ловившие каждое слово девки с раскинутыми ногами  .  [Анатолий Азольский. Облдрамтеатр // «Новый Мир», 1997] [омонимия снята]
 еж мотаковда РСФСР КУ й-85;лапутсыв; 58-й УК РСФСР, адвокатом же ; выступал ;  ;некто Гиперид, применивший неслыханный (скорее ;Анатолий Азольский. Облдрамтеатр // «Новый Мир», 1997 ;Анатолий Азольский ;1930 ;Облдрамтеатр ;1997 ;художественная ;повесть ; ;«Новый Мир» ;1997 ;журнал ;омонимия снята;" Много веков назад судили в Греции гетеру Фрину, обвинение было нешуточным ― кощунство, то есть похлеще нынешней 58-й УК РСФСР, адвокатом же выступал некто Гиперид, применивший неслыханный (скорее ― невиданный!) приём ― обнажил перед судьями грудь своей подзащитной в доказательство того, что столь благородные формы не могут принадлежать женщине со злым, направленным на осквернение Олимпа умыслом. ""Вот!  [Анатолий Азольский. Облдрамтеатр // «Новый Мир», 1997] [омонимия снята]"
 емолзи ан икинчоломдоп еытавенчирок и;тюапутсыв; и коричневатые подмолочники (на изломе ; выступают ;  ;"крупные ""молочные"" капли), появляющиеся в ";Ю. Н. Карпун. Природа района Сочи (1997) ;Ю. Н. Карпун ; ;Природа района Сочи ;1997 ;учебно-научная, нехудожественная ;монография ;наука и технологии, биология ;Карпун Ю. Н. Природа района Сочи. Рельеф, климат, растительность. (Природоведческий очерк) ;1997 ;книга ;омонимия снята;" Похожи на сыроежки и коричневатые подмолочники (на изломе выступают крупные ""молочные"" капли), появляющиеся в середине лета.  [Ю. Н. Карпун. Природа района Сочи (1997)] [омонимия снята]"
 авотсоР анвортеП анирИ мёчирп акеволеч;теапутсыв; человека, причём Ирина Петровна Ростова ; выступает ;  ;не только за завершение работ ;Татьяна Савельева. Москвичи обсуждают «Столицу» (1997) // «Столица», 1997.05.13 ;Татьяна Савельева ; ;Москвичи обсуждают «Столицу» ;1997 ;публицистика, нехудожественная ;обзор ;частная жизнь ;«Столица» ;1997.05.13 ;журнал ;омонимия снята;"  Против акции высказались три человека, причём Ирина Петровна Ростова выступает не только за завершение работ по строительству памятника Петру, но и за создание в Москве ""памятника скульптору-труженику, а также и мэру-труженику"" в исполнении Зураба Церетели.  [Татьяна Савельева. Москвичи обсуждают «Столицу» (1997) // «Столица», 1997.05.13] [омонимия снята]"
 оргА-СБС йеиссоР и имадналредиН уджем;теапутсыв;" между Нидерландами и Россией ""СБС-Агро"" "; выступает ;  ;не только как организатор и ;Новости СБСАГРО (1997) // «Столица», 1997.05.27 ; ; ;Новости СБСАГРО ;1997 ;публицистика, нехудожественная ;заметка ;бизнес, коммерция, экономика, финансы ;«Столица» ;1997.05.27 ;журнал ;омонимия снята;"  Впрочем, в программе празднования 300-летнего юбилея установления дипломатических отношений между Нидерландами и Россией ""СБС-Агро"" выступает не только как организатор и спонсор выставок произведений искусства.  [Новости СБСАГРО (1997) // «Столица», 1997.05.27] [омонимия снята]"
  вонемазкэ ямерв олширп еынзёьрес ьсилажлодорп;илапутсыВ; продолжались серьёзные, пришло время экзаменов.  ; Выступали ;  ;ученики в большом школьном зале ;И. К. Архипова. Музыка жизни (1996) ;И. К. Архипова ;1925 ;Музыка жизни ;1996 ;публицистика, нехудожественная ;мемуары ; ;Ирина Архипова. Музыка жизни ;1998 ;книга ;омонимия снята;  Занятия продолжались серьёзные, пришло время экзаменов.  Выступали ученики в большом школьном зале.  Я тогда очень стеснялась играть на людях, меня охватывал при этом какой-то страх, поэтому я шла на экзамен, как на казнь.  [И. К. Архипова. Музыка жизни (1996)] [омонимия снята]
 илатс еыврепв емод монрепо мокснеманЗ;ьтапутсыв;" Знаменском оперном доме"", впервые стали "; выступать ;  ;актёры оперной труппы князя Урусова ;И. К. Архипова. Музыка жизни (1996) ;И. К. Архипова ;1925 ;Музыка жизни ;1996 ;публицистика, нехудожественная ;мемуары ; ;Ирина Архипова. Музыка жизни ;1998 ;книга ;омонимия снята;"  Меня особенно занимает история здания, в котором мне посчастливилось учиться, ещё и потому, что в 1776 году здесь, в пристройке к дому, в так называемом ""Знаменском оперном доме"", впервые стали выступать актёры оперной труппы князя Урусова.  [И. К. Архипова. Музыка жизни (1996)] [омонимия снята]"
 етрецнок в йонм ос етсемВ;алапутсыв; Вместе со мной в концерте ; выступала ;  ;Наташа, дочь профессора Кринского (это ;И. К. Архипова. Музыка жизни (1996) ;И. К. Архипова ;1925 ;Музыка жизни ;1996 ;публицистика, нехудожественная ;мемуары ; ;Ирина Архипова. Музыка жизни ;1998 ;книга ;омонимия снята;" Вместе со мной в концерте выступала Наташа, дочь профессора Кринского (это она была инициатором моего первого появления на публике), которая читала ""Медного всадника"" Пушкина.  [И. К. Архипова. Музыка жизни (1996)] [омонимия снята]"
 ьсяарибос ен ёще ежад атрецнок;ьтапутсыв; концерта, даже ещё не собираясь ; выступать ;,  ;у меня всё получалось хорошо ;И. К. Архипова. Музыка жизни (1996) ;И. К. Архипова ;1925 ;Музыка жизни ;1996 ;публицистика, нехудожественная ;мемуары ; ;Ирина Архипова. Музыка жизни ;1998 ;книга ;омонимия снята; Это было обидно, так как когда я пела романс подругам задолго до концерта, даже ещё не собираясь выступать, у меня всё получалось хорошо.  [И. К. Архипова. Музыка жизни (1996)] [омонимия снята]
 сиренмА иитрап в едг удиА;алапутсыв;" Аиду"", где в партии Амнерис "; выступала ;  ;В. А. Давыдова ― тогдашний мой ;И. К. Архипова. Музыка жизни (1996) ;И. К. Архипова ;1925 ;Музыка жизни ;1996 ;публицистика, нехудожественная ;мемуары ; ;Ирина Архипова. Музыка жизни ;1998 ;книга ;омонимия снята;" Помню, как нам посчастливилось купить билеты на ""Аиду"", где в партии Амнерис выступала В. А. Давыдова ― тогдашний мой кумир.  [И. К. Архипова. Музыка жизни (1996)] [омонимия снята]"
 илатс ино итсонрялупоп атсор ерем;ьтапутсыв; мере роста популярности они стали ; выступать ;  ;в других творческих клубах ― в ;И. К. Архипова. Музыка жизни (1996) ;И. К. Архипова ;1925 ;Музыка жизни ;1996 ;публицистика, нехудожественная ;мемуары ; ;Ирина Архипова. Музыка жизни ;1998 ;книга ;омонимия снята; По мере роста популярности они стали выступать в других творческих клубах ― в Доме учёных, в Доме актёра (ВТО)…  [И. К. Архипова. Музыка жизни (1996)] [омонимия снята]
 ьсюарибос я отч ванзу игурдоп;ьтапутсыв; подруги, узнав, что я собираюсь ; выступать ;  ;на сцене нашего институтского Красного ;И. К. Архипова. Музыка жизни (1996) ;И. К. Архипова ;1925 ;Музыка жизни ;1996 ;публицистика, нехудожественная ;мемуары ; ;Ирина Архипова. Музыка жизни ;1998 ;книга ;омонимия снята;"  Мои подруги, узнав, что я собираюсь выступать на сцене нашего институтского Красного зала, принялись усиленно уговаривать меня не делать этого: конечно же, они всё ещё помнили, как я ""пустила петуха"" в Ташкенте на студенческом вечере.  [И. К. Архипова. Музыка жизни (1996)] [омонимия снята]"
 ;яапутсыВ;   ; Выступая ;  ;в разных странах, бывая в ;И. К. Архипова. Музыка жизни (1996) ;И. К. Архипова ;1925 ;Музыка жизни ;1996 ;публицистика, нехудожественная ;мемуары ; ;Ирина Архипова. Музыка жизни ;1998 ;книга ;омонимия снята;"  Выступая в разных странах, бывая в домах, куда меня приглашали мои коллеги по искусству или поклонники его, я увидела, что там не было того повального увлечения ""модерном"", всей этой угловатой полированной мебелью, какое началось у нас в 50-е годы и потом приняло характер обязательного стереотипа.  [И. К. Архипова. Музыка жизни (1996)] [омонимия снята]"
 тел огонм ацивеп яантсевзи яаксьлутаК;яашвапутсыв; Катульская, известная певица, много лет ; выступавшая ;  ;на сцене Большого театра.  ;И. К. Архипова. Музыка жизни (1996) ;И. К. Архипова ;1925 ;Музыка жизни ;1996 ;публицистика, нехудожественная ;мемуары ; ;Ирина Архипова. Музыка жизни ;1998 ;книга ;омонимия снята; Принимала нас Елена Климентьевна Катульская, известная певица, много лет выступавшая на сцене Большого театра.  [И. К. Архипова. Музыка жизни (1996)] [омонимия снята]
 зи огондо имасилук аз лисорпс;хишвапутсыв; спросил за кулисами одного из ; выступавших ;  ;в тот вечер, покрутив при ;И. К. Архипова. Музыка жизни (1996) ;И. К. Архипова ;1925 ;Музыка жизни ;1996 ;публицистика, нехудожественная ;мемуары ; ;Ирина Архипова. Музыка жизни ;1998 ;книга ;омонимия снята;" "" А однажды, когда я участвовала в концерте в Большом зале консерватории, где пела в сопровождении оркестра арию Иоанны из ""Орлеанской девы"" Чайковского, ведущий концерта спросил за кулисами одного из выступавших в тот вечер, покрутив при этом пальцем у виска (не очень вежливо, зато выразительно!): ""Она что― того?  [И. К. Архипова. Музыка жизни (1996)] [омонимия снята]"
 акгелс ос икёщ и сон;имищюапутсыв; нос, и щёки со слегка ; выступающими ;  ;скулами, овеянные не румянцем, а ;Виктор Астафьев. Обертон (1995-1996) ;Виктор Астафьев ;1924 ;Обертон ;1995-1996 ;художественная ;повесть ; ;Астафьев В. Обертон.  ;1997 ;книга ;омонимия снята; Даже глаза Любы, серые глаза с чётко очерченными зрачками, как бы чуть сонные от переутомленности, и курносый нос, и щёки со слегка выступающими скулами, овеянные не румянцем, а яблочной алой мглой, и подбородочек, будто донышко новенькой детской игрушки, ― все-все эти детали лица, сами по себе ― загляденье, являлись всё же второстепенными по сравнению с несравненными губами Любы.  [Виктор Астафьев. Обертон (1995-1996)] [омонимия снята]
 иктах еынелебежевс мамлох оп иладв;илапутсыв; вдали, по холмам, свежебеленые хатки ; выступали ;  ;из зарослей и садов, виднелись ;Виктор Астафьев. Обертон (1995-1996) ;Виктор Астафьев ;1924 ;Обертон ;1995-1996 ;художественная ;повесть ; ;Астафьев В. Обертон.  ;1997 ;книга ;омонимия снята;" Средь желтеющих и черно вспаханных полей возникали прозрачные пролески; вдали, по холмам, свежебеленые хатки выступали из зарослей и садов, виднелись жёлтые, тоже свежей соломой крытые крыши, которые я путал со скирдами, опаханными плугом.  [Виктор Астафьев. Обертон (1995-1996)] [омонимия снята]"
 ыничважр хатсоран в ыбурТ ;йешвапутсыв;  Трубы в наростах ржавчины, ; выступавшей ;  ;из-под толстого слоя краски, по-змеиному ;Виктор Астафьев. Обертон (1995-1996) ;Виктор Астафьев ;1924 ;Обертон ;1995-1996 ;художественная ;повесть ; ;Астафьев В. Обертон.  ;1997 ;книга ;омонимия снята; Трубы в наростах ржавчины, выступавшей из-под толстого слоя краски, по-змеиному опасно шипели по всем углам, в туалете отдалённо рокотала вода.  [Виктор Астафьев. Обертон (1995-1996)] [омонимия снята]
 хин ялд итсончил мовтсйовс ястеялвя;теапутсыв; является свойством личности, для них ; выступает ;  ;характеристикой системы, чья целостность сохраняется ;В. Г. Лысенко. Классическая индийская философия в переводах и исследованиях российских ученых (1990-1996) (1996) ;В. Г. Лысенко ; ;Классическая индийская философия в переводах и исследованиях российских ученых (1990-1996) ;1996 ;учебно-научная, нехудожественная ;статья ;философия, религия ; ;1996 ;книга ;омонимия снята;" То, что для Шохина является свойством личности, для них выступает характеристикой системы, чья целостность сохраняется при всех переходах с одного уровня на другой: ""Философская проблематика во"" Вьяса-бхашье ""излагается через анализ опыта йогической работы с психикой, знание, его содержание тоже трактуется через опыт и даже более того ― к опыту сводится"" (Островская, Рудой, 1992, с. 80).  [В. Г. Лысенко. Классическая индийская философия в переводах и исследованиях российских ученых (1990-1996) (1996)] [омонимия снята]"
 ырофатеМ ;тюапутсыв;  Метафоры ; выступают ;  ;в качестве традиционных кодов для ;В. Г. Лысенко. Классическая индийская философия в переводах и исследованиях российских ученых (1990-1996) (1996) ;В. Г. Лысенко ; ;Классическая индийская философия в переводах и исследованиях российских ученых (1990-1996) ;1996 ;учебно-научная, нехудожественная ;статья ;философия, религия ; ;1996 ;книга ;омонимия снята; Метафоры выступают в качестве традиционных кодов для обозначения философских концепций.  [В. Г. Лысенко. Классическая индийская философия в переводах и исследованиях российских ученых (1990-1996) (1996)] [омонимия снята]
 итсоньлаер аруткуртс яанневзхерытеч юиненм ёе;яащюапутсыв; её мнению, четырехзвенная структура реальности, ; выступающая ;  ;результатом иного, чем у Шанкары ;В. Г. Лысенко. Классическая индийская философия в переводах и исследованиях российских ученых (1990-1996) (1996) ;В. Г. Лысенко ; ;Классическая индийская философия в переводах и исследованиях российских ученых (1990-1996) ;1996 ;учебно-научная, нехудожественная ;статья ;философия, религия ; ;1996 ;книга ;омонимия снята;" ― В. Л.) картина мира покоится не на идее чистой реальности, лишённой свойств и отношений, но на чём-то гораздо более многообразном и наполненным"" является, по её мнению, четырехзвенная структура реальности, выступающая результатом иного, чем у Шанкары, представления о природе высшей реальности.  [В. Г. Лысенко. Классическая индийская философия в переводах и исследованиях российских ученых (1990-1996) (1996)] [омонимия снята]"
 еж намхарБ ;теапутсыв;  Брахман же ; выступает ;  ;неизреченной и словесно несхватываемой (анирвачания ;В. Г. Лысенко. Классическая индийская философия в переводах и исследованиях российских ученых (1990-1996) (1996) ;В. Г. Лысенко ; ;Классическая индийская философия в переводах и исследованиях российских ученых (1990-1996) ;1996 ;учебно-научная, нехудожественная ;статья ;философия, религия ; ;1996 ;книга ;омонимия снята; Брахман же выступает неизреченной и словесно несхватываемой (анирвачания) реальностью, тогда как у Бхартрихари именно слово является сокровенной сущностью Брахмана (шабда-таттва).  [В. Г. Лысенко. Классическая индийская философия в переводах и исследованиях российских ученых (1990-1996) (1996)] [омонимия снята]
 оно оннемервондО ;теапутсыв;  Одновременно оно ; выступает ;  ;и как нераздельность познающего сознания ;В. Г. Лысенко. Классическая индийская философия в переводах и исследованиях российских ученых (1990-1996) (1996) ;В. Г. Лысенко ; ;Классическая индийская философия в переводах и исследованиях российских ученых (1990-1996) ;1996 ;учебно-научная, нехудожественная ;статья ;философия, религия ; ;1996 ;книга ;омонимия снята; Одновременно оно выступает и как нераздельность познающего сознания и познаваемого объекта, свет, который освещает и себя, и свой объект (излюбленная метафора ведантистов для объяснения работы сознания).  [В. Г. Лысенко. Классическая индийская философия в переводах и исследованиях российских ученых (1990-1996) (1996)] [омонимия снята]
 мин дереп алачанс отч минмопсв;алапутсыв; вспомним, что сначала перед ним ; выступала ;  ;шикарная блондинка, а затем мужчина ;Людмила Петрушевская. Маленькая волшебница // «Октябрь», 1996 ;Людмила Петрушевская ;1938 ;Маленькая волшебница ;1996 ;художественная ;роман ; ;«Октябрь» ;1996 ;журнал ;омонимия снята;  Мужчина (его звали Эдик) даже пошатнулся от таких обстоятельств (вспомним, что сначала перед ним выступала шикарная блондинка, а затем мужчина с рогами и при копытах).  [Людмила Петрушевская. Маленькая волшебница // «Октябрь», 1996] [омонимия снята]
 оварп ястеавичепсебо автсдовзиорподус мокызя мищюедалв;ьтапутсыв; владеющим языком судопроизводства, обеспечивается право ; выступать ;  ;и давать объяснения на родном ;Федеральный конституционный закон О судебной системе Российской Федерации (1996) // «Энциклопедия российского права», выпуск 2 (96) 2004, 2004 ; ; ;Федеральный конституционный закон О судебной системе Российской Федерации ;1996 ;официально-деловая, нехудожественная ;закон ;право ;«Энциклопедия российского права», выпуск 2 (96) 2004 ;2004 ;электронное издание ;омонимия снята; Участвующим в деле лицам, не владеющим языком судопроизводства, обеспечивается право выступать и давать объяснения на родном языке либо на любом свободно избранном языке общения, а также пользоваться услугами переводчика.  [Федеральный конституционный закон О судебной системе Российской Федерации (1996) // «Энциклопедия российского права», выпуск 2 (96) 2004, 2004] [омонимия снята]
 тедуб ловмиС ;ьтапутсыв;  Символ будет ; выступать ;  ;как нечто неоднородное окружающему его ;Ю. М. Лотман. Символ в системе культуры (1982-1992) ;Ю. М. Лотман ;1922 ;Символ в системе культуры ;1982-1992 ;учебно-научная, нехудожественная ;статья ;наука и технологии, филология, культурология ;Лотман Ю.М. Избранные статьи. Т. 1. -- Таллинн, 1992. -- С. 191-199 ;1992 ;книга ;омонимия снята;" Символ будет выступать как нечто неоднородное окружающему его текстовому пространству, как посланец других культурных эпох (= других культур), как напоминание о древних (= ""вечных"") основах культуры.  [Ю. М. Лотман. Символ в системе культуры (1982-1992)] [омонимия снята]"
 еквонатсу йонжолоповиторп ирп ловмис ьтсе;теапутсыв; есть символ, при противоположной установке ; выступает ;  ;как симптом.  ;Ю. М. Лотман. Символ в системе культуры (1982-1992) ;Ю. М. Лотман ;1922 ;Символ в системе культуры ;1982-1992 ;учебно-научная, нехудожественная ;статья ;наука и технологии, филология, культурология ;Лотман Ю.М. Избранные статьи. Т. 1. -- Таллинн, 1992. -- С. 191-199 ;1992 ;книга ;омонимия снята; То, что для символизирующего сознания есть символ, при противоположной установке выступает как симптом.  [Ю. М. Лотман. Символ в системе культуры (1982-1992)] [омонимия снята]
 автсечровт ессецорп в отч от;теапутсыв; то, что в процессе творчества ; выступает ;  ;как символ (суггестивный механизм памяти ;Ю. М. Лотман. Символ в системе культуры (1982-1992) ;Ю. М. Лотман ;1922 ;Символ в системе культуры ;1982-1992 ;учебно-научная, нехудожественная ;статья ;наука и технологии, филология, культурология ;Лотман Ю.М. Избранные статьи. Т. 1. -- Таллинн, 1992. -- С. 191-199 ;1992 ;книга ;омонимия снята;  Поэтому не случайно то, что в процессе творчества выступает как символ (суггестивный механизм памяти), в читательском восприятии реализуется как реминисценция, поскольку процессы творчества и восприятия противонаправлены: в первом окончательный текст является итогом, во втором ― отправной исходной точкой.  [Ю. М. Лотман. Символ в системе культуры (1982-1992)] [омонимия снята]
 ловмиС ;теапутсыв;  Символ ; выступает ;  ;как отчётливый механизм коллективной памяти ;Ю. М. Лотман. Символ в системе культуры (1982-1992) ;Ю. М. Лотман ;1922 ;Символ в системе культуры ;1982-1992 ;учебно-научная, нехудожественная ;статья ;наука и технологии, филология, культурология ;Лотман Ю.М. Избранные статьи. Т. 1. -- Таллинн, 1992. -- С. 191-199 ;1992 ;книга ;омонимия снята; Символ выступает как отчётливый механизм коллективной памяти.  [Ю. М. Лотман. Символ в системе культуры (1982-1992)] [омонимия снята]
 ловмис катИ ;теапутсыв;   Итак, символ ; выступает ;  ;как бы конденсатором всех принципов ;Ю. М. Лотман. Символ в системе культуры (1982-1992) ;Ю. М. Лотман ;1922 ;Символ в системе культуры ;1982-1992 ;учебно-научная, нехудожественная ;статья ;наука и технологии, филология, культурология ;Лотман Ю.М. Избранные статьи. Т. 1. -- Таллинн, 1992. -- С. 191-199 ;1992 ;книга ;омонимия снята;  Итак, символ выступает как бы конденсатором всех принципов знаковости и одновременно выводит за пределы знаковости.  [Ю. М. Лотман. Символ в системе культуры (1982-1992)] [омонимия снята]
 хыроток инеми то иицаредеФ йоксйиссоР;теапутсыв; Российской Федерации, от имени которых ; выступает ;  ;государственный заказчик.  ;Закон О правовой охране программ для электронных вычислительных машин и баз данных (1992) // «Энциклопедия российского права», выпуск 2 (96) 2004, 2004 ; ; ;Закон О правовой охране программ для электронных вычислительных машин и баз данных ;1992 ;официально-деловая, нехудожественная ;закон ;право ;«Энциклопедия российского права», выпуск 2 (96) 2004 ;2004 ;электронное издание ;омонимия снята; Исключительное право на программу для ЭВМ или базу данных, созданные при выполнении работ по государственному контракту для федеральных государственных нужд или нужд субъекта Российской Федерации, принадлежит исполнителю (подрядчику), если государственным контрактом не установлено, что это право принадлежит Российской Федерации или субъекту Российской Федерации, от имени которых выступает государственный заказчик.  [Закон О правовой охране программ для электронных вычислительных машин и баз данных (1992) // «Энциклопедия российского права», выпуск 2 (96) 2004, 2004] [омонимия снята]
